Zero_Crossings,Spectral_Centroid,Spectral_Rolloff,MFCC,Chroma_Frequency,LPCC,Spectral_Bandwidth,Spectral_Flux,Spectral_Contrast,Energy,Tempo,F0,Intensity,Emotion
20,0.29326835441000937,1228.9627075195312,"[-3.3113692e-09, -2.6490953e-08, 0.0, -6.6227384e-09, 6.6227384e-09, 3.3113692e-09, 3.3113692e-09, -6.6227384e-09, -1.3245477e-08, -1.3245477e-08, -4.967054e-09, -1.3245477e-08, -6.6227384e-09, -5.794896e-09, 1.3245477e-08, 6.6227384e-09, 0.0, 0.0, -6.6227384e-09, -9.934108e-09]",0.5744769,0.0043489193,2441.344271261771,1.2754824,20.80350573982191,0.0062498404,[48.67716734 64.17716734 80.17716734],255.1584260572657,0.00012153499,happy
92,0.2958488939861219,1233.8973999023438,"[-1.3245477e-08, 0.0, -9.934108e-09, -6.6227384e-09, 6.6227384e-09, -6.6227384e-09, -3.3113692e-09, -4.967054e-09, -4.967054e-09, -6.6227384e-09, 0.0, 1.3245477e-08, -1.6556846e-09, 0.0, 6.6227384e-09, 3.3113692e-09, -4.967054e-09, 6.6227384e-09, 6.6227384e-09, 1.3245477e-08]",0.50947726,0.00777557,2554.830547260627,1.5138478,20.433320109454836,0.0016032879,[61.6796875 74.1796875],421.01242225105585,7.5933663e-06,neutral
0,0.24426676209322923,1728.479694870283,"[-4.498464e-09, -2.3991806e-08, -5.9979515e-09, 1.87436e-09, 0.0, -2.9989757e-09, 5.9979515e-09, 2.6241038e-09, -9.746672e-09, 8.0597475e-09, -1.1995903e-08, 0.0, -1.1995903e-08, 0.0, 8.996928e-09, 1.1995903e-08, 1.4994879e-09, -2.998976e-08, 0.0, 0.0]",0.3987177,0.008116811,2046.3962459421575,1.3045434,19.81161578924851,0.0068917987,[ 77.09960938  87.09960938  95.59960938 104.09960938 114.09960938],386.0075484578253,0.00014604072,angry
86,0.3685103226469438,1908.380126953125,"[-2.9802323e-09, 2.3841858e-08, -5.9604646e-09, -5.9604646e-09, -2.9802323e-09, 0.0, -6.7055224e-09, 1.1920929e-08, 0.0, -1.1920929e-08, 0.0, 0.0, 0.0, 5.9604646e-09, 1.4901161e-08, -1.1920929e-08, 0.0, 5.9604646e-09, 0.0, 5.9604646e-09]",0.4457299,0.013531663,2631.2214107102986,1.4747374,21.682818883013272,0.004644907,[ 69.72691761  80.72691761  91.72691761 102.72691761],298.2342847423048,5.170054e-05,fearful
0,0.47853108029323116,1241.0443474264705,"[-1.7530779e-08, 2.4932662e-08, 6.2331655e-09, 9.3497485e-09, 1.2466331e-08, 2.3374371e-09, 0.0, 0.0, 1.4024622e-08, 9.3497485e-09, -1.2466331e-08, 1.2466331e-08, 6.2331655e-09, 1.5582914e-09, -7.791457e-10, 0.0, 0.0, -6.2331655e-09, -1.2466331e-08, 1.2466331e-08]",0.5367001,0.004446627,2522.1048141225665,1.2370135,20.313235098508812,0.0037491552,[56.8515625 70.3515625 83.8515625],364.6934989267639,4.102264e-05,happy
0,0.42704431660804026,1948.2925134202453,"[-1.4626907e-08, 0.0, -2.194036e-09, -2.9253813e-09, 1.1701525e-08, 0.0, -5.8507625e-09, -5.8507625e-09, 0.0, 5.8507625e-09, -1.1701525e-08, -5.8507625e-09, -1.0238835e-08, -2.9253813e-09, 5.8507625e-09, -1.1701525e-08, 2.9253813e-09, -7.313453e-10, -2.9253813e-09, 0.0]",0.48927745,0.015713792,2442.3824150850664,1.4060289,19.73791260269792,0.008209092,"[115.38401442 121.88401442 128.88401442 136.38401442 143.38401442
 149.88401442]",382.61141243987805,0.0001885351,angry
92,0.6012089597424491,1124.3080950797873,"[2.705459e-08, 0.0, 1.0145471e-08, 0.0, 5.9181917e-09, -8.454559e-10, 1.2259111e-08, 1.1836383e-08, -1.3527295e-08, -6.7636474e-09, -3.3818237e-09, 2.0290942e-08, 0.0, 5.410918e-08, 3.3818237e-09, -3.3818237e-09, -1.0145471e-08, 1.3527295e-08, -4.0581885e-08, -6.7636474e-09]",0.60881615,0.0039354987,2693.1979254712755,1.135858,19.133387397807265,0.0031387517,[ 95.24951172 103.24951172 111.24951172],409.38015784326643,3.303762e-05,surprised
89,0.42610284272127924,1777.1104079026443,"[1.2226594e-08, -1.2226594e-08, -5.349135e-09, 0.0, 6.113297e-09, -6.113297e-09, 1.2226594e-08, 6.113297e-09, -7.641622e-09, -6.113297e-09, 6.113297e-09, -6.113297e-09, 1.2226594e-08, 6.113297e-09, 0.0, 3.0566485e-09, -1.2226594e-08, 3.0566485e-09, 1.2226594e-08, 0.0]",0.56220406,0.0077906675,2745.8323528911733,1.4531976,20.872441640135353,0.014017654,[107.78515625 114.78515625 121.28515625 128.28515625 135.28515625],299.62012186979626,0.00059936073,angry
23,0.46981726996953144,1996.4719512758875,"[2.8215217e-09, -1.1286087e-08, 0.0, 0.0, -2.8215217e-09, 1.1286087e-08, 1.1286087e-08, -5.6430434e-09, -7.759184e-09, 2.8215217e-09, 1.1286087e-08, 2.8215217e-09, 0.0, -2.2572173e-08, -5.6430434e-09, 0.0, 0.0, 0.0, 0.0, -5.6430434e-09]",0.5087123,0.0061798184,2688.5854027338946,1.4547772,20.231520940835676,0.003003395,[66.55145474 81.05145474],349.0485284718619,2.7384845e-05,disgusted
51,0.3050986026924828,1830.3848621457123,"[-7.277311e-09, 0.0, 0.0, -2.772309e-09, -8.316928e-09, -3.4653864e-09, 0.0, -2.772309e-09, -1.1782314e-08, 8.316928e-09, 0.0, -5.544618e-09, -2.2178472e-08, 0.0, -5.544618e-09, 5.544618e-09, -5.544618e-09, 0.0, -1.1089236e-08, -1.1089236e-08]",0.4738948,0.007973666,2497.217252706194,1.4952476,21.105032948845828,0.006740408,"[ 90.49954044  98.99954044 106.99954044 115.49954044 124.49954044
 132.99954044]",279.3518409119828,0.00012872716,angry
35,0.3249266002034927,1807.5606582948826,"[-1.9201496e-08, 0.0, 0.0, 0.0, 4.800374e-09, 1.9201496e-08, 8.000623e-09, 6.400499e-09, -8.400654e-09, -3.2002494e-09, 0.0, -1.2800998e-08, -1.2800998e-08, 1.2800998e-08, 9.600748e-09, 0.0, -6.400499e-09, -3.2002494e-09, 0.0, 0.0]",0.4621564,0.0087349545,2537.2803420522064,1.7228967,20.985152052471797,0.0023659717,[ 67.72691761  78.72691761  89.72691761 100.22691761],323.01295217937167,1.41164655e-05,fearful
92,0.502130974452348,940.2568143956802,"[-1.4024622e-08, -2.8049245e-08, -3.5061556e-09, -5.2592335e-09, 0.0, 0.0, 0.0, 7.012311e-09, 0.0, -2.6296167e-09, 0.0, 1.4024622e-08, 0.0, 1.7530778e-09, 1.4024622e-08, -7.012311e-09, -1.4024622e-08, 7.012311e-09, 0.0, 1.4024622e-08]",0.6024276,0.0044235373,2753.6822797956333,1.157725,19.656429824908436,0.0017109038,[36.12800481 55.62800481],377.52327995327505,8.8939005e-06,disgusted
10,0.43275357068962406,823.4619140625,"[0.0, 1.29751605e-08, 0.0, 3.2437901e-09, -2.5950321e-08, 0.0, 6.4875803e-09, 0.0, 7.298528e-09, -1.29751605e-08, 0.0, 9.73137e-09, 0.0, 6.4875803e-09, -1.29751605e-08, 3.2437901e-09, -6.4875803e-09, 0.0, 0.0, 0.0]",0.5513622,0.006640577,2456.3336863534787,1.4543868,19.48813086849509,0.00085382344,[ 89.99954044  97.99954044 106.49954044 114.49954044],354.9617975558334,2.3217713e-06,disgusted
46,0.31238005730183865,1746.6841534870427,"[4.3613153e-09, 1.1630174e-08, 1.0903288e-09, 0.0, 5.815087e-09, 0.0, -5.815087e-09, 0.0, 5.815087e-09, 1.1630174e-08, -5.815087e-09, 0.0, 0.0, -1.1630174e-08, -5.815087e-09, 1.7445261e-08, -8.722631e-09, -5.815087e-09, -1.2902225e-08, 0.0]",0.49352804,0.0052594338,2737.390881639665,1.3472525,20.388088737123432,0.0044293306,[64.33300781 76.33300781 88.33300781],278.1217440021424,5.7124584e-05,surprised
0,0.2819109864122845,1756.571044921875,"[-8.940697e-09, 0.0, -1.4901161e-09, 1.1920929e-08, -5.9604646e-09, -5.9604646e-09, 2.2351743e-09, 1.1920929e-08, 1.1920929e-08, 5.9604646e-09, 0.0, 0.0, 0.0, 1.4901161e-09, 0.0, 1.1920929e-08, -2.9802323e-09, -8.940697e-09, -5.9604646e-09, 0.0]",0.51059806,0.004960274,2717.3042890373263,1.3442214,20.47818755666808,0.0036907985,[79.17357337 90.67357337],289.7694047824744,4.206753e-05,surprised
38,0.5700356799841133,1189.16015625,"[9.3258965e-09, 3.892548e-08, 0.0, 1.29751605e-08, 0.0, 3.2437901e-09, 9.73137e-09, -3.2437901e-09, 0.0, 1.6218952e-08, -6.4875803e-09, 1.29751605e-08, 0.0, 0.0, 1.29751605e-08, -3.2437901e-09, 8.109476e-09, -1.29751605e-08, 1.946274e-08, -9.73137e-09]",0.59189266,0.003935705,2666.8617458956865,1.1915419,18.94072930444285,0.0031396903,[80.99958882 90.49958882 99.99958882],405.63356468956215,3.3787954e-05,surprised
0,0.25209573557152887,1364.2611568921234,"[-1.1431028e-08, 0.0, -3.266008e-09, 6.532016e-09, -2.6128063e-08, -6.532016e-09, -6.532016e-09, -9.798024e-09, 3.266008e-09, -6.532016e-09, 2.6128063e-08, -1.3064032e-08, -9.798024e-09, 1.3064032e-08, 1.3064032e-08, 6.532016e-09, 2.6128063e-08, 0.0, 1.3064032e-08, 0.0]",0.35183424,0.0065080575,2098.9941587572735,1.301717,20.402848897025766,0.0027499008,[43.49977022 60.49977022],424.9100764711375,2.2032114e-05,neutral
64,0.4523106457888614,1781.691910916527,"[1.2800998e-08, -2.5601995e-08, 0.0, 6.400499e-09, 6.400499e-09, 0.0, -6.400499e-09, 0.0, -1.2800998e-08, -6.400499e-09, 1.2800998e-08, -1.2800998e-08, 1.2800998e-08, -6.400499e-09, 0.0, 2.0801622e-08, -1.6001247e-08, 3.2002494e-09, 6.400499e-09, 3.2002494e-09]",0.49642438,0.006805235,2631.0293731147754,1.2681526,19.50087057404322,0.008435154,[46.87475586 62.87475586],441.74733330901597,0.00020658199,fearful
0,0.36565407707585434,2040.5335961318597,"[2.9075435e-09, 0.0, 0.0, -2.3260348e-08, 0.0, 0.0, -5.815087e-09, 2.9075435e-09, 5.815087e-09, 1.235706e-08, -5.815087e-09, 0.0, -5.815087e-09, -1.1630174e-08, 1.1630174e-08, 0.0, 1.1630174e-08, 0.0, 5.815087e-09, -5.451644e-10]",0.52699095,0.00990316,2671.470247608689,1.5345647,20.398477808173645,0.009618741,[54.14257812 68.14257812 82.14257812],320.6740900300859,0.00026194443,angry
80,0.3096061412057257,1681.7289036630796,"[-1.8947173e-08, -2.5262896e-08, 6.315724e-09, 0.0, 0.0, 0.0, -1.2631448e-08, 0.0, 6.315724e-09, 1.578931e-09, 3.157862e-09, 1.2631448e-08, 6.315724e-09, 1.2631448e-08, -6.315724e-09, 1.2631448e-08, 3.157862e-09, -1.2631448e-08, -2.5262896e-08, -1.2631448e-08]",0.532565,0.012038152,2530.570353890308,1.3955818,21.387681832047203,0.0036464941,[70.22691761 81.22691761 92.22691761],364.64109332208596,3.0813924e-05,fearful
44,0.3253658344015474,2257.604510967548,"[6.113297e-09, -2.4453188e-08, 2.4453188e-08, 1.3754918e-08, -4.967054e-09, 0.0, -3.820811e-09, 0.0, 6.113297e-09, -1.5283242e-09, 0.0, 9.169946e-09, 3.0566485e-09, 8.405784e-09, 1.2226594e-08, -3.0566485e-09, -6.113297e-09, 1.1271391e-08, -1.2226594e-08, -1.5283243e-08]",0.4374942,0.007980957,2556.0312157947083,1.6382955,21.29247186532764,0.010748979,"[114.88401442 121.38401442 127.88401442 134.88401442 141.38401442
 148.38401442]",301.7271031850392,0.00029702255,happy
0,0.3246642962241684,1874.025406376008,"[0.0, 4.101825e-08, 0.0, 1.02545625e-08, -5.1272813e-09, 0.0, 9.613652e-09, -1.02545625e-08, -1.02545625e-08, -1.02545625e-08, 0.0, -2.5636406e-09, 5.1272813e-09, 2.0509125e-08, 5.1272813e-09, -1.9227304e-09, 0.0, -1.02545625e-08, 0.0, 2.0509125e-08]",0.3135991,0.009070001,1640.4948466907053,1.4267285,21.849952018583906,0.0052115982,[ 74.0234375  84.5234375  95.0234375 106.0234375 115.5234375 125.0234375],379.7577578203436,7.2813826e-05,disgusted
0,0.4165040031668089,2234.483924278846,"[3.3345255e-09, 0.0, -6.669051e-09, 1.3338102e-08, -6.669051e-09, -1.3338102e-08, -1.3338102e-08, -3.3345255e-09, 2.6676204e-08, -1.0003577e-08, 0.0, 1.3338102e-08, -1.3338102e-08, -1.0003577e-08, -1.3338102e-08, -6.669051e-09, -1.3338102e-08, 0.0, 0.0, 1.3338102e-08]",0.37641326,0.008718214,2223.5183106945083,1.3922642,20.77480771867941,0.008426549,[100.6328125 108.1328125 115.6328125 123.6328125],441.48437042658355,0.00021240675,fearful
75,0.30691336645879425,1286.455078125,"[0.0, -2.7247838e-08, -6.8119594e-09, 0.0, 0.0, 6.8119594e-09, -2.0861625e-08, 0.0, 3.4059797e-09, 2.5544848e-09, -1.3623919e-08, 6.8119594e-09, 1.3623919e-08, 2.0435879e-08, 2.7247838e-08, 1.3623919e-08, -1.3623919e-08, -1.3623919e-08, 0.0, -3.4059797e-09]",0.44100922,0.010452083,2317.129685545336,1.2459725,19.614268942163672,0.0023003756,[44.65127841 61.15127841],452.6760055556111,1.6699543e-05,surprised
94,0.4934851765501837,1468.0368183464404,"[1.3815646e-08, 0.0, 2.5262896e-08, 3.9473274e-09, -1.2631448e-08, 1.1052517e-08, -2.3683966e-09, -5.131526e-09, -3.157862e-09, 0.0, 0.0, 6.315724e-09, 6.315724e-09, -6.315724e-09, 0.0, 0.0, 0.0, 0.0, 1.8947173e-08, 1.2631448e-08]",0.51157373,0.013096374,2683.4555936468655,1.5841795,20.26451290210121,0.002497014,[ 85.27734375  94.27734375 103.27734375 112.27734375 120.77734375],323.0912991754677,1.8354736e-05,disgusted
0,0.35985385539391695,1767.550947081368,"[-2.3991806e-08, 0.0, -5.9979515e-09, -5.9979515e-09, 0.0, -1.1995903e-08, -8.996928e-09, -5.9979515e-09, 0.0, 5.9979515e-09, 0.0, 0.0, 0.0, 5.9979515e-09, 8.996928e-09, 0.0, -1.7993855e-08, 0.0, 8.996928e-09, 2.3991806e-08]",0.35995677,0.0070849448,1829.058341270638,1.2536658,20.007007915892366,0.0032587296,[ 77.09960938  87.09960938  97.09960938 105.59960938],393.0309804352264,3.0249847e-05,disgusted
62,0.38663271964658924,2069.8441938920455,"[6.1926904e-09, 0.0, -9.289035e-09, 0.0, 0.0, 6.1926904e-09, -6.1926904e-09, -1.3546511e-08, 1.2385381e-08, 0.0, 1.2385381e-08, -6.1926904e-09, 0.0, 0.0, -6.1926904e-09, 0.0, 6.1926904e-09, 1.2385381e-08, 0.0, -1.5481726e-08]",0.4309754,0.00804747,2705.7513474719685,1.3936982,21.744805584027574,0.0064664534,[36.12800481 55.62800481],375.47291367303745,0.00011000175,fearful
25,0.30093613230895205,1507.915790264423,"[2.6199845e-09, 0.0, -1.0479938e-08, 2.0959876e-08, 0.0, -1.0479938e-08, -1.0479938e-08, 0.0, -5.894965e-09, -1.0479938e-08, 1.0479938e-08, 1.0479938e-08, -1.0479938e-08, -5.239969e-09, -2.6199845e-09, 2.6199845e-09, -5.239969e-09, 2.0959876e-08, 1.0479938e-08, -1.5719907e-08]",0.40847293,0.006451572,2334.198837520315,1.4632565,22.49466292706617,0.0066093532,[59.4140625 76.9140625],244.06153164497093,0.00010943397,disgusted
0,0.30928895417352126,1174.4433958138993,"[2.1350917e-08, 2.846789e-08, 0.0, 0.0, -1.7792431e-09, 1.4233945e-08, 7.1169723e-09, 3.558486e-08, 0.0, 0.0, -2.846789e-08, 7.1169723e-09, -1.3344323e-09, -7.1169723e-09, 1.7792431e-09, 1.779243e-08, 1.2454702e-08, 1.4233945e-08, -2.846789e-08, 0.0]",0.52448356,0.004061252,2914.0241867367945,1.2239943,20.05561323167059,0.0025134136,[48.17716734 63.67716734],216.87807502999956,1.7538372e-05,neutral
29,0.49452810482251836,1518.026349644461,"[-6.4244525e-09, 0.0, 5.710625e-09, -1.142125e-08, 1.142125e-08, 0.0, -5.710625e-09, -5.710625e-09, 1.142125e-08, -2.8553124e-09, 5.710625e-09, -1.142125e-08, 0.0, 0.0, -2.8553124e-09, 4.9967968e-09, -1.142125e-08, -5.710625e-09, -1.142125e-08, -1.142125e-08]",0.49526533,0.0050266706,2471.5130324242405,1.4893086,20.120953448219698,0.0026046934,[54.8515625 69.8515625 83.8515625],318.27008190166043,1.9462284e-05,disgusted
